record_type,name,summary,definitive_status,status_confidence,user_problem,target_users,user_facing_behavior,functional_coverage,scope_boundaries,code_evidence,test_evidence,documentation_evidence,routes_components_services,data_and_schemas,flags_and_configuration,dependencies_and_integrations,known_limitations,related_features,related_explored_ideas,historical_names_or_aliases,runtime_status,runtime_evidence,last_verified_commit,last_verified_date
"feature","YouTube capture","YouTube capture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs youtube capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","URL capture from any client; primary entrypoint: URL capture route.","YouTube metadata and transcript helpers; jobs/scripts: enrichment and embedding.","Provider anti-bot behavior varies","URL capture route; YouTube metadata and transcript helpers.","YouTube unit/network smoke evidence","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","URL capture from any client; URL capture route; YouTube metadata and transcript helpers.","items, transcript metadata, duration","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Provider anti-bot behavior varies","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","YouTube unit/network smoke evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","YouTube transcript recovery and provider resilience","YouTube transcript recovery and provider resilience as classified on current main.","Implemented","High for code; Medium/Low for runtime as stated","The single owner needs youtube transcript recovery and provider resilience as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Item upgrade and review flows; primary entrypoint: URL capture and upgrade actions.","recovery, provider-health, user-text modules; jobs/scripts: transcript worker.","Unified on current main","URL capture and upgrade actions; recovery, provider-health, user-text modules.","main-branch recovery/provider tests","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Item upgrade and review flows; URL capture and upgrade actions; recovery, provider-health, user-text modules.","transcript jobs and item upgrades","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Unified on current main","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Unknown","main-branch recovery/provider tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","YouTube production backfill tooling","YouTube production backfill tooling as classified on current main.","Implemented","High for code; Medium/Low for runtime as stated","The maintainer needs safe, observable youtube production backfill tooling without exposing private operations.","AI Brain maintainer/operator and authorized AI agent","Operator-only; primary entrypoint: Direct script.","transcript backfill modules; jobs/scripts: production backfill runner.","Production write; private runbook only","Direct script; transcript backfill modules.","main-branch backfill tests","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Operator-only; Direct script; transcript backfill modules.","items, transcript jobs, artifacts","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Production write; private runbook only","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Unknown","main-branch backfill tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","PDF capture","PDF capture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs pdf capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/capture`, Android file share; primary entrypoint: PDF capture route.","PDF validation/extraction module; jobs/scripts: enrichment after capture.","Extraction depends on document quality","PDF capture route; PDF validation/extraction module.","PDF capture tests and deployed client evidence","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","`/capture`, Android file share; PDF capture route; PDF validation/extraction module.","items and capture artifacts","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Extraction depends on document quality","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","PDF capture tests and deployed client evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","User-provided transcript capture","User-provided transcript capture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs user-provided transcript capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Capture form; primary entrypoint: transcript capture route.","transcript parser and policy modules; jobs/scripts: enrichment after capture.","Merged into current main","transcript capture route; transcript parser and policy modules.","transcript policy tests","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Capture form; transcript capture route; transcript parser and policy modules.","items, transcript sources and segments","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Merged into current main","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-unverified","transcript policy tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Official YouTube captions recovery","Official YouTube captions recovery as classified on current main.","Inactive","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs official youtube captions recovery as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Repair recovery options; current product path is deliberately unavailable.","YouTube official captions and recovery policy; jobs/scripts: transcript recovery worker.","Not wired; requires authorized OAuth/owned-video path","official-caption adapter; YouTube official captions and recovery policy.","adapter/policy tests and inactive UI label","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Repair recovery options; official-caption adapter; YouTube official captions and recovery policy.","transcript sources and segments if activated","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Not wired; requires authorized OAuth/owned-video path","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Not deployed","adapter/policy tests and inactive UI label; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Owned-media speech-to-text","Owned-media speech-to-text as classified on current main.","Inactive","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs owned-media speech-to-text as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Owned-media upload path; current product path is deliberately unavailable.","STT provider adapters; jobs/scripts: none in current route.","Current route always returns `503 provider_disabled`","owned-media transcript route; STT provider adapters.","route and adapter tests","Feature-Catalog; Product-Overview","Owned-media upload path; owned-media transcript route; STT provider adapters.","no product writes because route stops first","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Current route always returns `503 provider_disabled`","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Not deployed","route and adapter tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Android native share and result flow","Android native share and result flow as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs android native share and result flow as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Capacitor Android app; primary entrypoint: note, URL, PDF capture routes.","Android request/result helpers and share handler; jobs/scripts: native intent handling.","Public store distribution is not shipped","note, URL, PDF capture routes; Android request/result helpers and share handler.","A29 deployed URL-share evidence","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Capacitor Android app; note, URL, PDF capture routes; Android request/result helpers and share handler.","items and capture source","Shared bearer, public origin, client storage and optional version/origin policy","Capacitor, Android share target, hosted API","Public store distribution is not shipped","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","A29 deployed URL-share evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Android pairing and reachability","Android pairing and reachability as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs android pairing and reachability as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/setup-apk`, pairing settings; primary entrypoint: pairing create/exchange routes.","device-pairing and reachability modules; jobs/scripts: expiration cleanup on access.","Private sideload channel only","pairing create/exchange routes; device-pairing and reachability modules.","pairing and reachability tests plus A12 evidence","Authentication-Sessions-and-Device-Pairing; Security-Privacy-and-Redaction","`/setup-apk`, pairing settings; pairing create/exchange routes; device-pairing and reachability modules.","settings and pairing codes","Shared bearer, public origin, client storage and optional version/origin policy","Capacitor, Android share target, hosted API","Private sideload channel only","Android/extension clients; Telegram; Notes; all protected routes","Trust Center; WebAuthn; per-device identity; multi-user","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","pairing and reachability tests plus A12 evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Theme, responsive shell, navigation, and command palette","Theme, responsive shell, navigation, and command palette as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs theme, responsive shell, navigation, and command palette as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Global layout, Settings, sidebar/mobile navigation, command palette; primary entrypoint: theme preference action and client routing.","layout, theme, sidebar-routing, command-palette modules; jobs/scripts: none.","UI shell only; no saved smart-filter/workspace behavior","theme preference action and client routing; layout, theme, sidebar-routing, command-palette modules.","theme, sidebar-routing, command/navigation safety tests","Feature-Catalog; Product-Overview","Global layout, Settings, sidebar/mobile navigation, command palette; theme preference action and client routing; layout, theme, sidebar-routing, command-palette modules.","theme cookie/settings; no item mutation","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","UI shell only; no saved smart-filter/workspace behavior","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Deployed-unverified","theme, sidebar-routing, command/navigation safety tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Browser extension capture","Browser extension capture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs browser extension capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Extension popup, menu, and options; primary entrypoint: URL capture API.","extension background/capture modules; jobs/scripts: browser event handling.","Browser-store distribution is not documented","URL capture API; extension background/capture modules.","extension build and historical E2E evidence","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Extension popup, menu, and options; URL capture API; extension background/capture modules.","items via API","Shared bearer, public origin, client storage and optional version/origin policy","Chrome MV3 and capture API","Browser-store distribution is not documented","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","extension build and historical E2E evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Telegram capture","Telegram capture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs telegram capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Private Telegram chat; primary entrypoint: Telegram webhook route.","webhook, dispatch, client, rate-limit modules; jobs/scripts: webhook dispatch and enrichment.","Private-chat policy only","Telegram webhook route; webhook, dispatch, client, rate-limit modules.","Telegram smoke and deployed webhook checks","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Private Telegram chat; Telegram webhook route; webhook, dispatch, client, rate-limit modules.","telegram updates and items","Private webhook/bot/owner policy configuration","Telegram webhook/API and capture pipeline","Private-chat policy only","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","Telegram smoke and deployed webhook checks; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Recall guarded import and manual sync","Guarded one-way Recall import with a default-off Settings request control.","Feature-flagged","High for code/local evidence; runtime confidence for the manual control is intentionally not claimed","The single owner needs truthful on-demand Recall import without bypassing the existing guarded daily workflow.","Single AI Brain owner; contributors and authorized operators maintaining the capability","Settings control plus background integration; primary entrypoints: Settings Recall card and packaged Recall runner.","Recall client, mapper, fidelity, importer, scheduler, durable manual request service; jobs/scripts: shared guarded wrapper, trusted worker, path/fallback units, daily timer.","One-way import only; manual control is disabled and undeployed; actual-host proof is required before enablement","Settings Recall card and confirmation dialog; authenticated Recall status/request API; trusted worker and full wrapper.","full local gates, process/crash fixtures, visual/accessibility report, independent QA/adversarial closure, and 2026-07-10 daily-timer evidence","Recall-Synchronization; APIs-and-Integrations; Data-Model; Configuration-Reference; Deployment-and-Operations; Security-Privacy-and-Redaction","Settings control and background integration; durable API/service/repository; shared guarded wrapper and trusted worker.","recall sync state/runs/items, manual requests/executions/schedule snapshot, items, artifacts","Private Recall credential; separate default-off UI/worker flags; caps; private lock/checkpoint/report and trusted host configuration","Recall API, packaged runner, SQLite, systemd-style path/timer/service units, capture pipeline","Guarded one-way import, not two-way sync; no merge/deploy/enablement; real host identity/credential/permission/unit/timer proof remains separate","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations; Deployment; Security","Two-way synchronization; broader sync-management UI; production enablement without host proof","Recall import/sync; manual sync means durable intent for the same full guarded wrapper","Review-candidate","manual feature not deployed; local code/process/browser evidence at fdd740617685c1ce730a6150c306152a04070f86; daily timer runtime evidence remains dated 2026-07-10.","fdd740617685c1ce730a6150c306152a04070f86","2026-07-11"
"feature","Capture artifacts and metadata cache","Capture artifacts and metadata cache as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs capture artifacts and metadata cache as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Item provenance and repair; primary entrypoint: Capture pipeline.","artifact and metadata-cache modules; jobs/scripts: capture/import paths.","Retention policy is implicit","Capture pipeline; artifact and metadata-cache modules.","artifact and cache tests","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Item provenance and repair; Capture pipeline; artifact and metadata-cache modules.","capture_artifacts and capture_metadata_cache","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Retention policy is implicit","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-unverified","artifact and cache tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Capture quality, needs-upgrade, and repair","Capture quality, needs-upgrade, and repair as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs capture quality, needs-upgrade, and repair as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/needs-upgrade`, item repair; primary entrypoint: repair actions and enrich route.","quality policy and item-repair modules; jobs/scripts: repair/enrichment worker.","Full unified Repair Center proposal remains unimplemented","repair actions and enrich route; quality policy and item-repair modules.","repair tests and UX v2 deployed evidence","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","`/needs-upgrade`, item repair; repair actions and enrich route; quality policy and item-repair modules.","item quality fields and artifacts","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Full unified Repair Center proposal remains unimplemented","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","repair tests and UX v2 deployed evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
