category,repository,stars,license,pushed_at,verification_depth,implementation_shape,extraction_mechanism,manifest_v3,permissions_posture,test_evidence,ai_brain_role,disposition,notes
historical_extension,kausikk/youtube-summarizer,33,MIT,2021-06-10,metadata_and_readme,Older extension or app,YouTube transcript summarization,unknown,Not deep-verified,Not deep-verified,Historical comparison,historical_only,"Stale relative to 2026 YouTube DOM and MV3 requirements"
historical_extension,zhangted/youtube-transcript-gpt,13,GPL-3.0,2023-06-26,metadata_and_readme,Extension or web app,Transcript plus GPT workflow,unknown,Not deep-verified,Not deep-verified,Historical comparison,historical_only,"Stale and GPL-3.0"
summary_extension,2mawi2/tubetalk,4,MIT,2026-03-16,metadata_and_readme,Transcript chat extension,Transcript extraction followed by chat,unknown,Not deep-verified,Not deep-verified,Product-pattern comparison,deprioritized,"Large product surface relative to the extractor need"
summary_extension,adnjoo/summatube,18,MIT,2025-12-29,metadata_and_readme,Archived extension,YouTube transcript summarization,unknown,Not deep-verified,Not deep-verified,Historical comparison,historical_only,"Repository is archived"
summary_extension,skainguyen1412/youtube-summary-free-extension,8,NONE,2025-12-15,metadata_and_readme,Browser extension,Transcript extraction followed by summarization,unknown,Not deep-verified,Not deep-verified,Inventory comparison,read_only,"No detected license and broader AI surface"
summary_extension,chirag127/YouTube-AI-Navigator-Browser-Extension,3,MIT,2026-07-04,metadata_and_readme,Browser extension,YouTube transcript navigation and AI features,unknown,Not deep-verified,Not deep-verified,Transcript-navigation UX reference,deprioritized,"Useful UX category but no foundation advantage"
summary_extension,0xdaksh-12/FluxAsker,0,MIT,2026-04-21,metadata_and_readme,Browser extension,Page or video context capture for AI queries,unknown,Not deep-verified,Not deep-verified,Context handoff reference,deprioritized,"Not a focused transcript extractor"
capture_platform,sujalmeena7/ContextBridge,0,NONE,2026-05-20,metadata_and_readme,Browser context companion,Page context capture and AI handoff,unknown,Not deep-verified,Not deep-verified,Context handoff reference,read_only,"No detected license and not transcript-focused"
vendor_extension,xwchris/video-transcribe-chrome-extension,1,NONE,2026-07-13,metadata_and_readme,Vendor-connected Chrome extension,Video transcript sent to an external transcription service,unknown,Not deep-verified,Not deep-verified,Hosted-service comparison,reject,"No detected license and creates an unnecessary third-party data path"
userscript,amirthfultehrani/Youtube-Transcript-Copier,19,MIT,2026-01-25,metadata_and_readme,Userscript,Visible-page transcript copy workflow,no,"Runs with userscript manager grants","No test evidence used",Low-complexity selector and interaction reference,reference_only,"Useful for understanding the minimum flow but weaker packaging and trust model than the existing extension"
userscript,hruzgar/TubeScriptCopy,5,MIT,2026-04-22,metadata_and_readme,Userscript,YouTube transcript copy workflow,no,"Userscript grants not deep-verified","No test evidence used",Low-complexity interaction reference,reference_only,"No reason to introduce a second installation mechanism for AI Brain"
userscript,TimMacy/YouTubeAlchemy,94,AGPL-3.0,2026-07-21,metadata_and_readme,Feature-rich userscript,YouTube transcript and page enhancement,no,"Userscript grants not deep-verified","No test evidence used",Current userscript ecosystem reference,patterns_only,"Active and popular but AGPL and broad feature scope"
userscript,umitaltintas/subscribe,7,MIT,2026-05-20,metadata_and_readme,Userscript,YouTube transcript-related page enhancement,no,"Userscript grants not deep-verified","No test evidence used",Inventory comparison,deprioritized,"Not a stronger foundation than focused extensions"
userscript,vedran-/YouTube-Transcript-Assistant,1,MIT,2026-04-10,metadata_and_readme,Userscript,Transcript assistant workflow,no,"Userscript grants not deep-verified","No test evidence used",Inventory comparison,deprioritized,"Small low-evidence alternative"
userscript,dioogosilv/youtube-transcript-md-downloader,1,MIT,2026-06-10,metadata_and_readme,Userscript,Transcript-panel to Markdown download,no,"Userscript grants not deep-verified","No test evidence used",Markdown formatting reference,reference_only,"Tiny implementation; use concepts rather than a parallel userscript product"
caption_extension,warren-bank/crx-Youtube-subtitles,0,GPL-2.0,2025-02-01,metadata_and_readme,Cross-browser extension,YouTube subtitle download and handling,unknown,Not deep-verified,Not deep-verified,Subtitle ecosystem reference,patterns_only,"GPL-2.0 and subtitle-download focus"
caption_extension,anassk01/youtube-multi-subtitle-downloader,7,MIT,2025-02-18,metadata_and_readme,Chrome extension,Multiple YouTube subtitle track download,unknown,Not deep-verified,Not deep-verified,Track-selection UX reference,reference_only,"Useful adjacent behavior but not a tested AI Brain foundation"
caption_extension,ADengrc/youtube-captions,252,MIT,2020-06-12,metadata_and_readme,Older Chrome extension,YouTube captions display or download,unknown,Not deep-verified,Not deep-verified,Historical subtitle reference,historical_only,"High historical adoption but stale for current DOM and MV3"
caption_extension,hugepizza/youtube2anki,12,Apache-2.0,2025-11-03,metadata_and_readme,Chrome extension,Caption segments converted into Anki study material,unknown,Not deep-verified,Not deep-verified,Segment-selection UX reference,reference_only,"Adjacent learning workflow rather than a Brain capture foundation"
