id,design_artifact,shown_state_or_requirement,implied_behavior,classification,mapped_artifact,confidence,decision_needed,owner
SS-ANDROID-06,screenshots/android/mobile-more-settings.png,Mobile More/settings,"Account privacy offline provider status",Partial,PRD-14,Medium,Offline controls,Arun/Product
SS-ANDROID-07,screenshots/android/mobile-login.png,Mobile Login,Pair/unlock/offline entry,Partial/Missing,PRD-15,Medium,QR/session choices,Arun/Product
SS-ANDROID-08,screenshots/android/mobile-needs-upgrade.png,Mobile Needs Upgrade,Mobile repair-oriented queue,Partial,PRD-10,Medium,Mark-good-enough,Arun/Product
SRC-WEB-01,source-exports/web/magic-patterns-exact/pages/DesktopLibrary.tsx,Desktop Library implementation reference,Do not copy blindly use design intent,Reference,"LIB rows; DS-01",Medium,No,Implementation agent
SRC-WEB-02,source-exports/web/magic-patterns-exact/pages/DesktopAsk.tsx,Desktop Ask reference,May include simulated conversations,Reference/Partial,PRD-09-FU,Medium,Attachment model,Arun/Product
SRC-WEB-03,source-exports/web/magic-patterns-exact/pages/DesktopCapture.tsx,Desktop Capture reference,Result states require backend truth,Reference/Partial,PRD-06-FU,Medium,No,Implementation agent
SRC-WEB-04,source-exports/web/magic-patterns-exact/pages/DesktopItemDetail.tsx,Desktop item detail reference,YouTube/detail/focus visual treatment,Reference/Partial,"YT-01; PRD-11-FU",Medium,Player/thumbnail scope,Arun/Product
SRC-WEB-05,source-exports/web/magic-patterns-exact/pages/DesktopSettings.tsx,Desktop Settings reference,Privacy/offline copy can overclaim if copied literally,Reference/Partial,PRD-14,Medium,Offline controls,Arun/Product
SRC-WEB-06,source-exports/web/magic-patterns-exact/pages/DesktopPairDevice.tsx,Pair Device reference,Pairing success/failure states,Reference/Partial,PRD-15,Medium,QR scope,Arun/Product
SRC-WEB-07,"source-exports/web/magic-patterns-exact/pages/DesktopTopic.tsx; DesktopCollection.tsx",Topic and collection references,Scoped Ask and detail views,Reference/QA-gated,"TAX/COLL rows; PRD-16",Medium,No,Implementation agent
SRC-ANDROID-01,source-exports/android/magic-patterns-exact/components/MobileBottomNav.tsx,Mobile bottom nav reference,Route-aware Capture and More behavior,Reference/Partial,PRD-11-SHELL,Medium,More route behavior,Arun/Product
SRC-ANDROID-02,source-exports/android/magic-patterns-exact/pages/MobileAsk.tsx,Unified Ask composer reference,Add context/history sheets are major scope,Reference/Missing,PRD-12,Medium,Attachment model,Arun/Product
SRC-ANDROID-03,source-exports/android/magic-patterns-exact/pages/MobileShareCapture.tsx,Android share result reference,Share result surface is required for Android trust,Reference/Missing,PRD-13,Medium,Multi-PDF/offline queue,Arun/Product
SRC-ANDROID-04,source-exports/android/magic-patterns-exact/pages/MobileRepair.tsx,Mobile repair reference,Weak-source repair is first-class,Reference/Partial,PRD-10,Medium,Mark-good-enough,Arun/Product
SRC-ANDROID-05,source-exports/android/magic-patterns-exact/pages/MobileItemDetail.tsx,Android tabbed item detail reference,Tabs are missing in production,Reference/decision-gated,PRD-11-FU,Medium,Split tabs or include now,Arun/Product
SRC-ANDROID-06,"source-exports/android/magic-patterns-exact/pages/MobileLogin.tsx; MobileOffline.tsx",Entry/offline references,Session/offline/pairing states need truth copy,Reference/Partial,PRD-15,Medium,QR/session choices,Arun/Product
SRC-ANDROID-07,source-exports/android/magic-patterns-exact/pages/MobileMore.tsx,More/settings reference,More must avoid active privacy overclaims,Reference/Partial,PRD-14,Medium,Offline controls,Arun/Product
SRC-SUPPORT-01,"source-exports/*/magic-patterns-exact/data/*.ts; index.css; tailwind.config.js",Simulated data and styling,"Use for visual/reference only not backend truth",Reference only,"COPY-01; DS-01",High,No,Implementation agent
