capability_id,capability,implementation_status,implementation_confidence,entry_or_gate_status,entry_or_gate_confidence,external_readiness_status,external_readiness_confidence,runtime_evidence_status,runtime_confidence,value_evidence_status,value_confidence,verified_date
F27,Related items,Implemented,High,Item Related list entry,High,Eligible current vectors required,High,Code tests; current index quality Unknown,Medium,Unknown,Low,2026-07-12
F28,Scoped cited Ask,Implemented,High,Ask item and selected-source entries,High,Model provider retrieval index and streaming required,High,Code tests; current answer quality Unknown,Medium,Unknown,Low,2026-07-12
F29,Attached My notes,Feature-flagged,High,Item tab and Focus with flags default off in example,High,Worker and storage required for full behavior,High,Code tests and dated release evidence; current flags Unknown,Medium,Unknown,Low,2026-07-12
F30,Notes in AI and Related,Feature-flagged plus consent,High,Per-note and Settings gates,High,Worker provider policy index and consent required,High,Code tests and dated release evidence; current gates Unknown,Medium,Unknown,Low,2026-07-12
F31,Chat persistence,Implemented,High,Ask history entry,High,Provider required only for new answers,High,Code and tests only in this audit,High,Unknown,Low,2026-07-12
F32,Processing workflow,Feature-flagged plus readiness-gated,High,Processing pages and contextual entries with flags default off in example,High,Readiness row schema host and audit units required,High,Dated production evidence not freshly probed,Medium,Unknown,Low,2026-07-12
F33,Background workers and schedules,Implemented,High,Operator and instrumentation entry,High,Host process SQLite providers and units required,High,Protected CI plus dated operations evidence,High,Operational only; product value Unknown,Low,2026-07-12
F34,Backups and restore tooling,Implemented,High,Operator-only entry,High,Host filesystem off-site target and credentials required,High,Code tests and dated operation evidence,High,Operational only; product value Unknown,Low,2026-07-12
F35,Health errors quota observability,Implemented,High,Health settings debug and operator entries,High,Host logs provider and database state required,High,Code tests and dated operations evidence,High,Operational only; engagement value Unknown,Low,2026-07-12
F36,Hosted immutable deployment,Implemented,High,Operator-only release and system-unit entry,High,Host CI registry filesystem and systemd required,High,Protected CI and dated deployment evidence; host not freshly probed,Medium,Operational only; product value Unknown,Low,2026-07-12
F37,Knowledge graph connection map,Planned not implemented,High,No product entry,High,Proof packet absent,High,No runtime,High,Historical council hypothesis only,Low,2026-07-12
F38,Spaced repetition,Planned product with inactive schema,High,No product entry,High,No scheduler or service,High,No runtime,High,Unknown,Low,2026-07-12
